                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0509,                 3.4254,                 1.5045,                 0.0035,                      1,                0.09786,                0.06316,                0.96694,                 3.6884,                 1.2635,                      0,                      0,                      0
                      2,                 0.9817,                 3.4122,                 1.3077,                0.00349,                      1,                0.10994,                0.07565,                0.97044,                  3.603,                   1.23,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 1.0507,                 3.5175,                 1.4767,                0.00347,                      1,                0.12547,                0.10223,                0.94464,                 3.5905,                 1.1822,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                0.86185,                 3.2629,                 1.2167,                0.00342,                      1,                0.60565,                0.20519,                0.89086,                 3.5396,                  1.136,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                0.87708,                 3.3597,                 1.2356,                0.00339,                      1,                0.64382,                0.44291,                0.83549,                 3.4727,                 1.0724,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                0.72994,                 3.2747,                 1.1552,                0.00336,                      1,                0.88071,                0.77011,                0.61651,                 3.3347,                0.89951,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                0.82936,                 3.0098,                 1.1428,                0.00334,                      1,                  0.945,                0.84542,                0.41404,                 3.2352,                0.78718,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.57948,                 2.8397,                0.97612,                0.00333,                      1,                0.97833,                0.91717,                0.35919,                 3.1918,                0.74804,              0.0001086,              0.0001086,              0.0001086
                      9,                0.65811,                  2.732,                0.97861,                0.00333,                      1,                0.94643,                0.85825,                0.37722,                 3.1875,                0.75349,              0.0001228,              0.0001228,              0.0001228
                     10,                0.47191,                 2.4865,                0.92648,                0.00334,                      1,                0.81643,                0.73483,                0.38462,                 3.1432,                0.75612,             0.00013666,             0.00013666,             0.00013666
                     11,                0.61462,                 2.3538,                 1.0494,                0.00334,                      1,                0.74625,                0.67449,                0.37607,                 3.0629,                0.74903,              0.0001502,              0.0001502,              0.0001502
                     12,                0.55967,                 1.9888,                0.96647,                0.00335,                      1,                0.74625,                0.67253,                0.41539,                 2.9683,                0.77236,              0.0001634,              0.0001634,              0.0001634
                     13,                0.49559,                 1.9407,                0.89079,                0.00334,                      1,                0.74625,                0.65589,                 0.5129,                 2.8612,                 0.8283,             0.00017628,             0.00017628,             0.00017628
                     14,                0.60185,                 1.8656,                0.99883,                0.00335,                      1,                0.74625,                0.63995,                 0.5487,                 2.7473,                0.86821,             0.00018882,             0.00018882,             0.00018882
                     15,                0.37482,                 1.8897,                0.92241,                0.00336,                      1,                  0.995,                0.86139,                0.58108,                 2.6392,                0.89069,             0.00020103,             0.00020103,             0.00020103
                     16,                0.54863,                 1.5836,                0.92263,                0.48942,                      1,                  0.995,                0.84504,                0.65007,                 2.5621,                 0.9249,             0.00021292,             0.00021292,             0.00021292
                     17,                0.67095,                 1.4153,                0.97833,                0.93908,                      1,                  0.995,                0.84585,                0.58906,                 2.5106,                0.90102,             0.00022447,             0.00022447,             0.00022447
                     18,                0.63482,                 1.4042,                0.91617,                0.93908,                      1,                  0.995,                0.84585,                0.58906,                 2.5106,                0.90102,              0.0002357,              0.0002357,              0.0002357
                     19,                0.56455,                  1.382,                  0.935,                0.95927,                      1,                  0.995,                0.86872,                0.51428,                 2.4825,                0.87078,             0.00024659,             0.00024659,             0.00024659
                     20,                0.79434,                 1.5844,                 1.1276,                0.95927,                      1,                  0.995,                0.86872,                0.51428,                 2.4825,                0.87078,             0.00025715,             0.00025715,             0.00025715
                     21,                0.53842,                  1.148,                0.87639,                0.93577,                      1,                  0.995,                0.91617,                0.44486,                 2.4318,                0.79679,             0.00026739,             0.00026739,             0.00026739
                     22,                0.78843,                 1.3627,                 1.0292,                0.93577,                      1,                  0.995,                0.91617,                0.44486,                 2.4318,                0.79679,             0.00027729,             0.00027729,             0.00027729
